id,guidislink,link,updated,updated_parsed,published,published_parsed,title,title_detail,summary,summary_detail,authors,author_detail,author,arxiv_doi,links,arxiv_journal_ref,arxiv_primary_category,tags,arxiv_comment,arxiv_affiliation
http://arxiv.org/abs/hep-lat/9107002v1,True,http://arxiv.org/abs/hep-lat/9107002v1,1992-04-08T22:58:34Z,"time.struct_time(tm_year=1992, tm_mon=4, tm_mday=8, tm_hour=22, tm_min=58, tm_sec=34, tm_wday=2, tm_yday=99, tm_isdst=0)",1992-04-08T22:58:34Z,"time.struct_time(tm_year=1992, tm_mon=4, tm_mday=8, tm_hour=22, tm_min=58, tm_sec=34, tm_wday=2, tm_yday=99, tm_isdst=0)",Spectral Density Study of the SU(3) Deconfining Phase Transition,"{'type': 'text/plain', 'language': None, 'base': 'http://export.arxiv.org/api/query?search_query=%22time+series%22&start=0&max_results=1000&sortBy=submittedDate&sortOrder=ascending', 'value': 'Spectral Density Study of the SU(3) Deconfining Phase Transition'}","We present spectral density reweighting techniques adapted to the analysis of
a time series of data with a continuous range of allowed values. In a first
application we analyze action and Polyakov line data from a Monte Carlo
simulation on $L_t L^3 (L_t=2,4)$ lattices for the SU(3) deconfining phase
transition. We calculate partition function zeros, as well as maxima of the
specific heat and of the order parameter susceptibility. Details and warnings
are given concerning i) autocorrelations in computer time and ii) a reliable
extraction of partition function zeros. The finite size scaling analysis of
these data leads to precise results for the critical couplings $\beta_c$, for
the critical exponent $\nu$ and for the latent heat $\triangle s$. In both
cases ($L_t=2$ and 4), the first order nature of the transition is
substantiated.","{'type': 'text/plain', 'language': None, 'base': 'http://export.arxiv.org/api/query?search_query=%22time+series%22&start=0&max_results=1000&sortBy=submittedDate&sortOrder=ascending', 'value': 'We present spectral density reweighting techniques adapted to the analysis of\na time series of data with a continuous range of allowed values. In a first\napplication we analyze action and Polyakov line data from a Monte Carlo\nsimulation on $L_t L^3 (L_t=2,4)$ lattices for the SU(3) deconfining phase\ntransition. We calculate partition function zeros, as well as maxima of the\nspecific heat and of the order parameter susceptibility. Details and warnings\nare given concerning i) autocorrelations in computer time and ii) a reliable\nextraction of partition function zeros. The finite size scaling analysis of\nthese data leads to precise results for the critical couplings $\\beta_c$, for\nthe critical exponent $\\nu$ and for the latent heat $\\triangle s$. In both\ncases ($L_t=2$ and 4), the first order nature of the transition is\nsubstantiated.'}","[{'name': 'Nelsons A. Alves'}, {'name': 'Bernd Al. Berg'}, {'name': 'Sergiu Sanielevici'}]",{'name': 'Sergiu Sanielevici'},Sergiu Sanielevici,10.1016/0550-3213(92)90075-M,"[{'title': 'doi', 'href': 'http://dx.doi.org/10.1016/0550-3213(92)90075-M', 'rel': 'related', 'type': 'text/html'}, {'href': 'http://arxiv.org/abs/hep-lat/9107002v1', 'rel': 'alternate', 'type': 'text/html'}, {'title': 'pdf', 'href': 'http://arxiv.org/pdf/hep-lat/9107002v1', 'rel': 'related', 'type': 'application/pdf'}]",Nucl.Phys. B376 (1992) 218-252,"{'term': 'hep-lat', 'scheme': 'http://arxiv.org/schemas/atom'}","[{'term': 'hep-lat', 'scheme': 'http://arxiv.org/schemas/atom', 'label': None}]",,
http://arxiv.org/abs/chao-dyn/9302001v1,True,http://arxiv.org/abs/chao-dyn/9302001v1,1993-02-03T00:00:00Z,"time.struct_time(tm_year=1993, tm_mon=2, tm_mday=3, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=2, tm_yday=34, tm_isdst=0)",1993-02-03T00:00:00Z,"time.struct_time(tm_year=1993, tm_mon=2, tm_mday=3, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=2, tm_yday=34, tm_isdst=0)",Topological organization of (low-dimensional) chaos,"{'type': 'text/plain', 'language': None, 'base': 'http://export.arxiv.org/api/query?search_query=%22time+series%22&start=0&max_results=1000&sortBy=submittedDate&sortOrder=ascending', 'value': 'Topological organization of (low-dimensional) chaos'}","Recent progress toward classifying low-dimensional chaos measured from time
series data is described. This classification theory assigns a template to the
time series once the time series is embedded in three dimensions. The template
describes the primary folding and stretching mechanisms of phase space
responsible for the chaotic motion. Topological invariants of the unstable
periodic orbits in the closure of the strange set are calculated from the
(reconstructed) template. These topological invariants must be consistent with
any model put forth to describe the time series data, and are useful in
invalidating (or gaining confidence in) any model intended to describe the
dynamical system generating the time series.","{'type': 'text/plain', 'language': None, 'base': 'http://export.arxiv.org/api/query?search_query=%22time+series%22&start=0&max_results=1000&sortBy=submittedDate&sortOrder=ascending', 'value': 'Recent progress toward classifying low-dimensional chaos measured from time\nseries data is described. This classification theory assigns a template to the\ntime series once the time series is embedded in three dimensions. The template\ndescribes the primary folding and stretching mechanisms of phase space\nresponsible for the chaotic motion. Topological invariants of the unstable\nperiodic orbits in the closure of the strange set are calculated from the\n(reconstructed) template. These topological invariants must be consistent with\nany model put forth to describe the time series data, and are useful in\ninvalidating (or gaining confidence in) any model intended to describe the\ndynamical system generating the time series.'}",[{'name': 'Nicholas B. Tufillaro'}],{'name': 'Nicholas B. Tufillaro'},Nicholas B. Tufillaro,,"[{'href': 'http://arxiv.org/abs/chao-dyn/9302001v1', 'rel': 'alternate', 'type': 'text/html'}, {'title': 'pdf', 'href': 'http://arxiv.org/pdf/chao-dyn/9302001v1', 'rel': 'related', 'type': 'application/pdf'}]",,"{'term': 'chao-dyn', 'scheme': 'http://arxiv.org/schemas/atom'}","[{'term': 'chao-dyn', 'scheme': 'http://arxiv.org/schemas/atom', 'label': None}, {'term': 'nlin.CD', 'scheme': 'http://arxiv.org/schemas/atom', 'label': None}]","CYCLER Paper 93feb001 LaTeX with natokap.sty and nato11.sty macros
  (available via `get nato.sty')",
http://arxiv.org/abs/comp-gas/9302001v1,True,http://arxiv.org/abs/comp-gas/9302001v1,1993-02-10T00:00:00Z,"time.struct_time(tm_year=1993, tm_mon=2, tm_mday=10, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=2, tm_yday=41, tm_isdst=0)",1993-02-10T00:00:00Z,"time.struct_time(tm_year=1993, tm_mon=2, tm_mday=10, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=2, tm_yday=41, tm_isdst=0)",Some comments on the correlation dimension of $1/f^α$ noise,"{'type': 'text/plain', 'language': None, 'base': 'http://export.arxiv.org/api/query?search_query=%22time+series%22&start=0&max_results=1000&sortBy=submittedDate&sortOrder=ascending', 'value': 'Some comments on the correlation dimension of $1/f^α$ noise'}","It has recently been observed that a stochastic (infinite degree of freedom)
time series with a $1/f^\alpha$ power spectrum can exhibit a finite correlation
dimension, even for arbitrarily large data sets. [A.R. Osborne and
A.~Provenzale, {\sl Physica D} {\bf 35}, 357 (1989).] I will discuss the
relevance of this observation to the practical estimation of dimension from a
time series, and in particular I will argue that a good dimension algorithm
need not be trapped by this anomalous fractal scaling. Further, I will
analytically treat the case of gaussian \onefas noise, with explicit high and
low frequency cutoffs, and derive the scaling of the correlation integral
$C(N,r)$ in various regimes of the $(N,r)$ plane. Appears in: {\sl Phys. Lett.
A} {\bf 155} (1991) 480--493.","{'type': 'text/plain', 'language': None, 'base': 'http://export.arxiv.org/api/query?search_query=%22time+series%22&start=0&max_results=1000&sortBy=submittedDate&sortOrder=ascending', 'value': 'It has recently been observed that a stochastic (infinite degree of freedom)\ntime series with a $1/f^\\alpha$ power spectrum can exhibit a finite correlation\ndimension, even for arbitrarily large data sets. [A.R. Osborne and\nA.~Provenzale, {\\sl Physica D} {\\bf 35}, 357 (1989).] I will discuss the\nrelevance of this observation to the practical estimation of dimension from a\ntime series, and in particular I will argue that a good dimension algorithm\nneed not be trapped by this anomalous fractal scaling. Further, I will\nanalytically treat the case of gaussian \\onefas noise, with explicit high and\nlow frequency cutoffs, and derive the scaling of the correlation integral\n$C(N,r)$ in various regimes of the $(N,r)$ plane. Appears in: {\\sl Phys. Lett.\nA} {\\bf 155} (1991) 480--493.'}",[{'name': 'James Theiler'}],{'name': 'James Theiler'},James Theiler,,"[{'href': 'http://arxiv.org/abs/comp-gas/9302001v1', 'rel': 'alternate', 'type': 'text/html'}, {'title': 'pdf', 'href': 'http://arxiv.org/pdf/comp-gas/9302001v1', 'rel': 'related', 'type': 'application/pdf'}]",,"{'term': 'comp-gas', 'scheme': 'http://arxiv.org/schemas/atom'}","[{'term': 'comp-gas', 'scheme': 'http://arxiv.org/schemas/atom', 'label': None}, {'term': 'nlin.CG', 'scheme': 'http://arxiv.org/schemas/atom', 'label': None}]","CYCLER Paper 93feb005 Several PostScript files, compress'ed tar'ed
  uuencode'ed",
http://arxiv.org/abs/chao-dyn/9302004v1,True,http://arxiv.org/abs/chao-dyn/9302004v1,1993-02-17T00:00:00Z,"time.struct_time(tm_year=1993, tm_mon=2, tm_mday=17, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=2, tm_yday=48, tm_isdst=0)",1993-02-17T00:00:00Z,"time.struct_time(tm_year=1993, tm_mon=2, tm_mday=17, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=2, tm_yday=48, tm_isdst=0)",Can averaged orbits be used to extract scaling functions?,"{'type': 'text/plain', 'language': None, 'base': 'http://export.arxiv.org/api/query?search_query=%22time+series%22&start=0&max_results=1000&sortBy=submittedDate&sortOrder=ascending', 'value': 'Can averaged orbits be used to extract scaling functions?'}","Trajectory scaling functions are the basic element in the study of chaotic
dynamical systems, from which any long time average can be computed. It has
never been extracted from an experimental time series the reason being its
sensitivity to noise. It is shown, by numerical simulations, that the
sensitivity of the scaling function is to drift in the control parameters, and
not noise. It is also explained how naive averaging of the orbit points may
lead to erroneous results.","{'type': 'text/plain', 'language': None, 'base': 'http://export.arxiv.org/api/query?search_query=%22time+series%22&start=0&max_results=1000&sortBy=submittedDate&sortOrder=ascending', 'value': 'Trajectory scaling functions are the basic element in the study of chaotic\ndynamical systems, from which any long time average can be computed. It has\nnever been extracted from an experimental time series the reason being its\nsensitivity to noise. It is shown, by numerical simulations, that the\nsensitivity of the scaling function is to drift in the control parameters, and\nnot noise. It is also explained how naive averaging of the orbit points may\nlead to erroneous results.'}",[{'name': 'Ronnie Mainieri'}],{'name': 'Ronnie Mainieri'},Ronnie Mainieri,,"[{'href': 'http://arxiv.org/abs/chao-dyn/9302004v1', 'rel': 'alternate', 'type': 'text/html'}, {'title': 'pdf', 'href': 'http://arxiv.org/pdf/chao-dyn/9302004v1', 'rel': 'related', 'type': 'application/pdf'}]",,"{'term': 'chao-dyn', 'scheme': 'http://arxiv.org/schemas/atom'}","[{'term': 'chao-dyn', 'scheme': 'http://arxiv.org/schemas/atom', 'label': None}, {'term': 'nlin.CD', 'scheme': 'http://arxiv.org/schemas/atom', 'label': None}]",CYCLER Paper 93feb006,
http://arxiv.org/abs/cond-mat/9302023v1,True,http://arxiv.org/abs/cond-mat/9302023v1,1993-02-18T13:34:34Z,"time.struct_time(tm_year=1993, tm_mon=2, tm_mday=18, tm_hour=13, tm_min=34, tm_sec=34, tm_wday=3, tm_yday=49, tm_isdst=0)",1993-02-18T13:34:34Z,"time.struct_time(tm_year=1993, tm_mon=2, tm_mday=18, tm_hour=13, tm_min=34, tm_sec=34, tm_wday=3, tm_yday=49, tm_isdst=0)",On the random filling of $R^d$ by non-\-overlapping d-dimensional cubes,"{'type': 'text/plain', 'language': None, 'base': 'http://export.arxiv.org/api/query?search_query=%22time+series%22&start=0&max_results=1000&sortBy=submittedDate&sortOrder=ascending', 'value': 'On the random filling of $R^d$ by non-\\-overlapping d-dimensional cubes'}","We compute the time-dependent coverage in the random sequential adsorption of
aligned d-dimensional cubes in $R^d$ using time-series expansions. The
seventh-order series in 2, 3 and 4 dimensions is resummed in order to predict
the coverage at jamming. The result is in agreement with Monte-Carlo
simulations. A simple argument, based on a property of the perturbative
expansion valid at arbitrary orders, allows us to analytically derive some
generalizations of the Pal\'asti approximation.","{'type': 'text/plain', 'language': None, 'base': 'http://export.arxiv.org/api/query?search_query=%22time+series%22&start=0&max_results=1000&sortBy=submittedDate&sortOrder=ascending', 'value': ""We compute the time-dependent coverage in the random sequential adsorption of\naligned d-dimensional cubes in $R^d$ using time-series expansions. The\nseventh-order series in 2, 3 and 4 dimensions is resummed in order to predict\nthe coverage at jamming. The result is in agreement with Monte-Carlo\nsimulations. A simple argument, based on a property of the perturbative\nexpansion valid at arbitrary orders, allows us to analytically derive some\ngeneralizations of the Pal\\'asti approximation.""}","[{'name': 'B. Bonnier'}, {'name': 'M. Hontebeyrie'}, {'name': 'C. Meyers'}]",{'name': 'C. Meyers'},C. Meyers,10.1016/0378-4371(93)90180-C,"[{'title': 'doi', 'href': 'http://dx.doi.org/10.1016/0378-4371(93)90180-C', 'rel': 'related', 'type': 'text/html'}, {'href': 'http://arxiv.org/abs/cond-mat/9302023v1', 'rel': 'alternate', 'type': 'text/html'}, {'title': 'pdf', 'href': 'http://arxiv.org/pdf/cond-mat/9302023v1', 'rel': 'related', 'type': 'application/pdf'}]",,"{'term': 'cond-mat', 'scheme': 'http://arxiv.org/schemas/atom'}","[{'term': 'cond-mat', 'scheme': 'http://arxiv.org/schemas/atom', 'label': None}]","pure LaTeX, 8 pages, LPTB 93-3",
http://arxiv.org/abs/comp-gas/9302003v2,True,http://arxiv.org/abs/comp-gas/9302003v2,1994-07-15T21:57:48Z,"time.struct_time(tm_year=1994, tm_mon=7, tm_mday=15, tm_hour=21, tm_min=57, tm_sec=48, tm_wday=4, tm_yday=196, tm_isdst=0)",1993-02-26T00:00:00Z,"time.struct_time(tm_year=1993, tm_mon=2, tm_mday=26, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=4, tm_yday=57, tm_isdst=0)",Detecting Nonlinearity in Data with Long Coherence Times,"{'type': 'text/plain', 'language': None, 'base': 'http://export.arxiv.org/api/query?search_query=%22time+series%22&start=0&max_results=1000&sortBy=submittedDate&sortOrder=ascending', 'value': 'Detecting Nonlinearity in Data with Long Coherence Times'}","We consider the limitations of two techniques for detecting nonlinearity in
time series. The first technique compares the original time series to an
ensemble of surrogate time series that are constructed to mimic the linear
properties of the original. The second technique compares the forecasting error
of linear and nonlinear predictors. Both techniques are found to be problematic
when the data has a long coherence time; they tend to indicate nonlinearity
even for linear time series. We investigate the causes of these difficulties
both analytically and with numerical experiments on ``real'' and
computer-generated data. In particular, although we do see some initial
evidence for nonlinear structure in the SFI dataset E, we are inclined to
dismiss this evidence as an artifact of the long coherence time.","{'type': 'text/plain', 'language': None, 'base': 'http://export.arxiv.org/api/query?search_query=%22time+series%22&start=0&max_results=1000&sortBy=submittedDate&sortOrder=ascending', 'value': ""We consider the limitations of two techniques for detecting nonlinearity in\ntime series. The first technique compares the original time series to an\nensemble of surrogate time series that are constructed to mimic the linear\nproperties of the original. The second technique compares the forecasting error\nof linear and nonlinear predictors. Both techniques are found to be problematic\nwhen the data has a long coherence time; they tend to indicate nonlinearity\neven for linear time series. We investigate the causes of these difficulties\nboth analytically and with numerical experiments on ``real'' and\ncomputer-generated data. In particular, although we do see some initial\nevidence for nonlinear structure in the SFI dataset E, we are inclined to\ndismiss this evidence as an artifact of the long coherence time.""}","[{'name': 'James Theiler'}, {'name': 'Paul S. Linsay'}, {'name': 'David M. Rubin'}]",{'name': 'David M. Rubin'},David M. Rubin,,"[{'href': 'http://arxiv.org/abs/comp-gas/9302003v2', 'rel': 'alternate', 'type': 'text/html'}, {'title': 'pdf', 'href': 'http://arxiv.org/pdf/comp-gas/9302003v2', 'rel': 'related', 'type': 'application/pdf'}]",,"{'term': 'comp-gas', 'scheme': 'http://arxiv.org/schemas/atom'}","[{'term': 'comp-gas', 'scheme': 'http://arxiv.org/schemas/atom', 'label': None}, {'term': 'nlin.CG', 'scheme': 'http://arxiv.org/schemas/atom', 'label': None}]","26 pages, Postscript, includes figures embedded in text. This version
  fixes a very old postscript bug which prevented the paper from being printed
  out on some machines",USGS
http://arxiv.org/abs/adap-org/9303002v2,True,http://arxiv.org/abs/adap-org/9303002v2,1993-03-29T02:17:00Z,"time.struct_time(tm_year=1993, tm_mon=3, tm_mday=29, tm_hour=2, tm_min=17, tm_sec=0, tm_wday=0, tm_yday=88, tm_isdst=0)",1993-03-08T00:00:00Z,"time.struct_time(tm_year=1993, tm_mon=3, tm_mday=8, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=0, tm_yday=67, tm_isdst=0)",Evolution to the Edge of Chaos in Imitation Game,"{'type': 'text/plain', 'language': None, 'base': 'http://export.arxiv.org/api/query?search_query=%22time+series%22&start=0&max_results=1000&sortBy=submittedDate&sortOrder=ascending', 'value': 'Evolution to the Edge of Chaos in Imitation Game'}","Motivated by the evolution of complex bird songs, an abstract imitation game
is proposed to study the increase of dynamical complexity: Artificial ""birds""
display a ""song"" time series to each other, and those that imitate the other's
song better win the game. With the introduction of population dynamics
according to the score of the game and the mutation of parameters for the song
dynamics, the dynamics is found to evolve towards the borderline between chaos
and a periodic window, after punctuated equilibria. The importance of edge of
chaos with topological chaos for complexity is stressed.","{'type': 'text/plain', 'language': None, 'base': 'http://export.arxiv.org/api/query?search_query=%22time+series%22&start=0&max_results=1000&sortBy=submittedDate&sortOrder=ascending', 'value': 'Motivated by the evolution of complex bird songs, an abstract imitation game\nis proposed to study the increase of dynamical complexity: Artificial ""birds""\ndisplay a ""song"" time series to each other, and those that imitate the other\'s\nsong better win the game. With the introduction of population dynamics\naccording to the score of the game and the mutation of parameters for the song\ndynamics, the dynamics is found to evolve towards the borderline between chaos\nand a periodic window, after punctuated equilibria. The importance of edge of\nchaos with topological chaos for complexity is stressed.'}","[{'name': 'Kunihiko Kaneko'}, {'name': 'Junji Suzuki'}]",{'name': 'Junji Suzuki'},Junji Suzuki,,"[{'href': 'http://arxiv.org/abs/adap-org/9303002v2', 'rel': 'alternate', 'type': 'text/html'}, {'title': 'pdf', 'href': 'http://arxiv.org/pdf/adap-org/9303002v2', 'rel': 'related', 'type': 'application/pdf'}]",,"{'term': 'adap-org', 'scheme': 'http://arxiv.org/schemas/atom'}","[{'term': 'adap-org', 'scheme': 'http://arxiv.org/schemas/atom', 'label': None}, {'term': 'nlin.AO', 'scheme': 'http://arxiv.org/schemas/atom', 'label': None}, {'term': 'q-bio.PE', 'scheme': 'http://arxiv.org/schemas/atom', 'label': None}]","CYCLER Paper 93mar006. 8 pages, LaTex. (3.28 revised for minor LaTeX
  changes)",
http://arxiv.org/abs/chao-dyn/9303011v2,True,http://arxiv.org/abs/chao-dyn/9303011v2,1993-04-28T15:30:11Z,"time.struct_time(tm_year=1993, tm_mon=4, tm_mday=28, tm_hour=15, tm_min=30, tm_sec=11, tm_wday=2, tm_yday=118, tm_isdst=0)",1993-03-10T00:00:00Z,"time.struct_time(tm_year=1993, tm_mon=3, tm_mday=10, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=2, tm_yday=69, tm_isdst=0)",Phase shift in experimental trajectory scaling functions,"{'type': 'text/plain', 'language': None, 'base': 'http://export.arxiv.org/api/query?search_query=%22time+series%22&start=0&max_results=1000&sortBy=submittedDate&sortOrder=ascending', 'value': 'Phase shift in experimental trajectory scaling functions'}","For one dimensional maps the trajectory scaling functions is invariant under
coordinate transformations and can be used to compute any ergodic average. It
is the most stringent test between theory and experiment, but so far it has
proven difficult to extract from experimental data. It is shown that the main
difficulty is a dephasing of the experimental orbit which can be corrected by
reconstructing the dynamics from several time series. From the reconstructed
dynamics the scaling function can be accurately extracted.","{'type': 'text/plain', 'language': None, 'base': 'http://export.arxiv.org/api/query?search_query=%22time+series%22&start=0&max_results=1000&sortBy=submittedDate&sortOrder=ascending', 'value': 'For one dimensional maps the trajectory scaling functions is invariant under\ncoordinate transformations and can be used to compute any ergodic average. It\nis the most stringent test between theory and experiment, but so far it has\nproven difficult to extract from experimental data. It is shown that the main\ndifficulty is a dephasing of the experimental orbit which can be corrected by\nreconstructing the dynamics from several time series. From the reconstructed\ndynamics the scaling function can be accurately extracted.'}","[{'name': 'Ronnie Mainieri'}, {'name': 'Robert E. Ecke'}]",{'name': 'Robert E. Ecke'},Robert E. Ecke,10.1016/0375-9601(93)90927-R,"[{'title': 'doi', 'href': 'http://dx.doi.org/10.1016/0375-9601(93)90927-R', 'rel': 'related', 'type': 'text/html'}, {'href': 'http://arxiv.org/abs/chao-dyn/9303011v2', 'rel': 'alternate', 'type': 'text/html'}, {'title': 'pdf', 'href': 'http://arxiv.org/pdf/chao-dyn/9303011v2', 'rel': 'related', 'type': 'application/pdf'}]",,"{'term': 'chao-dyn', 'scheme': 'http://arxiv.org/schemas/atom'}","[{'term': 'chao-dyn', 'scheme': 'http://arxiv.org/schemas/atom', 'label': None}, {'term': 'nlin.CD', 'scheme': 'http://arxiv.org/schemas/atom', 'label': None}]","CYCLER Paper 93mar008. LaTeX, LAUR-92-3053. Replaced with a version
  with all figures","Center for Nonlinear Studies, Los Alamos National Laboratory"
http://arxiv.org/abs/comp-gas/9304007v2,True,http://arxiv.org/abs/comp-gas/9304007v2,1993-09-30T22:22:15Z,"time.struct_time(tm_year=1993, tm_mon=9, tm_mday=30, tm_hour=22, tm_min=22, tm_sec=15, tm_wday=3, tm_yday=273, tm_isdst=0)",1993-04-28T22:01:06Z,"time.struct_time(tm_year=1993, tm_mon=4, tm_mday=28, tm_hour=22, tm_min=1, tm_sec=6, tm_wday=2, tm_yday=118, tm_isdst=0)",Don't bleach chaotic data,"{'type': 'text/plain', 'language': None, 'base': 'http://export.arxiv.org/api/query?search_query=%22time+series%22&start=0&max_results=1000&sortBy=submittedDate&sortOrder=ascending', 'value': ""Don't bleach chaotic data""}","A common first step in time series signal analysis involves digitally
filtering the data to remove linear correlations. The residual data is
spectrally white (it is ``bleached''), but in principle retains the nonlinear
structure of the original time series. It is well known that simple linear
autocorrelation can give rise to spurious results in algorithms for estimating
nonlinear invariants, such as fractal dimension and Lyapunov exponents. In
theory, bleached data avoids these pitfalls. But in practice, bleaching
obscures the underlying deterministic structure of a low-dimensional chaotic
process. This appears to be a property of the chaos itself, since nonchaotic
data are not similarly affected. The adverse effects of bleaching are
demonstrated in a series of numerical experiments on known chaotic data. Some
theoretical aspects are also discussed.","{'type': 'text/plain', 'language': None, 'base': 'http://export.arxiv.org/api/query?search_query=%22time+series%22&start=0&max_results=1000&sortBy=submittedDate&sortOrder=ascending', 'value': ""A common first step in time series signal analysis involves digitally\nfiltering the data to remove linear correlations. The residual data is\nspectrally white (it is ``bleached''), but in principle retains the nonlinear\nstructure of the original time series. It is well known that simple linear\nautocorrelation can give rise to spurious results in algorithms for estimating\nnonlinear invariants, such as fractal dimension and Lyapunov exponents. In\ntheory, bleached data avoids these pitfalls. But in practice, bleaching\nobscures the underlying deterministic structure of a low-dimensional chaotic\nprocess. This appears to be a property of the chaos itself, since nonchaotic\ndata are not similarly affected. The adverse effects of bleaching are\ndemonstrated in a series of numerical experiments on known chaotic data. Some\ntheoretical aspects are also discussed.""}","[{'name': 'James Theiler'}, {'name': 'Stephen Eubank'}]",{'name': 'Stephen Eubank'},Stephen Eubank,10.1063/1.165936,"[{'title': 'doi', 'href': 'http://dx.doi.org/10.1063/1.165936', 'rel': 'related', 'type': 'text/html'}, {'href': 'http://arxiv.org/abs/comp-gas/9304007v2', 'rel': 'alternate', 'type': 'text/html'}, {'title': 'pdf', 'href': 'http://arxiv.org/pdf/comp-gas/9304007v2', 'rel': 'related', 'type': 'application/pdf'}]",,"{'term': 'comp-gas', 'scheme': 'http://arxiv.org/schemas/atom'}","[{'term': 'comp-gas', 'scheme': 'http://arxiv.org/schemas/atom', 'label': None}, {'term': 'nlin.CG', 'scheme': 'http://arxiv.org/schemas/atom', 'label': None}]","12 dense pages (82K) of ordinary LaTeX; uses macro psfig.tex for
  inclusion of figures in text; figures are uufile'd into a single file of size
  306K; the final dvips'd postscript file is about 1.3mb Replaced 9/30/93 to
  incorporate final changes in the proofs and to make the LaTeX more portable;
  the paper will appear in CHAOS 4 (Dec, 1993)","CNLS and T-division, LANL; Santa Fe Institute, and Prediction Company"
http://arxiv.org/abs/hep-lat/9306020v1,True,http://arxiv.org/abs/hep-lat/9306020v1,1993-06-24T10:52:55Z,"time.struct_time(tm_year=1993, tm_mon=6, tm_mday=24, tm_hour=10, tm_min=52, tm_sec=55, tm_wday=3, tm_yday=175, tm_isdst=0)",1993-06-24T10:52:55Z,"time.struct_time(tm_year=1993, tm_mon=6, tm_mday=24, tm_hour=10, tm_min=52, tm_sec=55, tm_wday=3, tm_yday=175, tm_isdst=0)",Monte Carlo Study of Topological Defects in the 3D Heisenberg Model,"{'type': 'text/plain', 'language': None, 'base': 'http://export.arxiv.org/api/query?search_query=%22time+series%22&start=0&max_results=1000&sortBy=submittedDate&sortOrder=ascending', 'value': 'Monte Carlo Study of Topological Defects in the 3D Heisenberg Model'}","We use single-cluster Monte Carlo simulations to study the role of
topological defects in the three-dimensional classical Heisenberg model on
simple cubic lattices of size up to $80^3$. By applying reweighting techniques
to time series generated in the vicinity of the approximate infinite volume
transition point $K_c$, we obtain clear evidence that the temperature
derivative of the average defect density $d\langle n \rangle/dT$ behaves
qualitatively like the specific heat, i.e., both observables are finite in the
infinite volume limit. This is in contrast to results by Lau and Dasgupta [{\em
Phys. Rev.\/} {\bf B39} (1989) 7212] who extrapolated a divergent behavior of
$d\langle n \rangle/dT$ at $K_c$ from simulations on lattices of size up to
$16^3$. We obtain weak evidence that $d\langle n \rangle/dT$ scales with the
same critical exponent as the specific heat.As a byproduct of our simulations,
we obtain a very accurate estimate for the ratio $\alpha/\nu$ of the
specific-heat exponent with the correlation-length exponent from a finite-size
scaling analysis of the energy.","{'type': 'text/plain', 'language': None, 'base': 'http://export.arxiv.org/api/query?search_query=%22time+series%22&start=0&max_results=1000&sortBy=submittedDate&sortOrder=ascending', 'value': 'We use single-cluster Monte Carlo simulations to study the role of\ntopological defects in the three-dimensional classical Heisenberg model on\nsimple cubic lattices of size up to $80^3$. By applying reweighting techniques\nto time series generated in the vicinity of the approximate infinite volume\ntransition point $K_c$, we obtain clear evidence that the temperature\nderivative of the average defect density $d\\langle n \\rangle/dT$ behaves\nqualitatively like the specific heat, i.e., both observables are finite in the\ninfinite volume limit. This is in contrast to results by Lau and Dasgupta [{\\em\nPhys. Rev.\\/} {\\bf B39} (1989) 7212] who extrapolated a divergent behavior of\n$d\\langle n \\rangle/dT$ at $K_c$ from simulations on lattices of size up to\n$16^3$. We obtain weak evidence that $d\\langle n \\rangle/dT$ scales with the\nsame critical exponent as the specific heat.As a byproduct of our simulations,\nwe obtain a very accurate estimate for the ratio $\\alpha/\\nu$ of the\nspecific-heat exponent with the correlation-length exponent from a finite-size\nscaling analysis of the energy.'}","[{'name': 'Christian Holm'}, {'name': 'Wolfhard Janke'}]",{'name': 'Wolfhard Janke'},Wolfhard Janke,10.1088/0305-4470/27/7/030,"[{'title': 'doi', 'href': 'http://dx.doi.org/10.1088/0305-4470/27/7/030', 'rel': 'related', 'type': 'text/html'}, {'href': 'http://arxiv.org/abs/hep-lat/9306020v1', 'rel': 'alternate', 'type': 'text/html'}, {'title': 'pdf', 'href': 'http://arxiv.org/pdf/hep-lat/9306020v1', 'rel': 'related', 'type': 'application/pdf'}]",J.Phys. A27 (1994) 2553-2564,"{'term': 'hep-lat', 'scheme': 'http://arxiv.org/schemas/atom'}","[{'term': 'hep-lat', 'scheme': 'http://arxiv.org/schemas/atom', 'label': None}]","pages ,4 ps-figures not included, FUB-HEP 10/93",
