,primary_category
cs.LG,1425
astro-ph.SR,1076
stat.ME,739
stat.ML,507
math.ST,490
stat.AP,461
q-fin.ST,343
astro-ph.EP,274
physics.data-an,269
astro-ph.IM,264
cs.CV,238
eess.SP,231
physics.soc-ph,173
nlin.CD,153
astro-ph.HE,142
cond-mat.stat-mech,124
cs.SI,124
q-bio.NC,120
cs.NE,112
econ.EM,110
cs.AI,109
stat.CO,106
physics.ao-ph,104
q-bio.QM,99
math.PR,90
astro-ph.GA,84
physics.flu-dyn,80
q-bio.PE,78
cs.IT,68
math.DS,66
physics.geo-ph,65
cs.CY,63
math.OC,63
cs.DB,62
cs.CR,54
q-fin.CP,53
q-fin.GN,52
gr-qc,46
cs.CE,45
cs.CL,44
cs.NI,43
quant-ph,42
nlin.AO,40
cs.HC,40
cs.DC,40
eess.SY,38
cs.DS,38
cs.SY,38
eess.IV,34
physics.comp-ph,34
math.NA,33
astro-ph.CO,32
q-fin.TR,30
physics.med-ph,29
physics.space-ph,29
cs.IR,28
cond-mat.dis-nn,27
physics.plasm-ph,27
q-fin.RM,27
cs.RO,26
physics.bio-ph,25
q-bio.MN,24
q-fin.PM,21
econ.GN,20
cond-mat.soft,20
cs.SD,20
q-fin.MF,17
cs.DL,17
stat.OT,16
physics.optics,15
math-ph,14
cs.SE,13
q-fin.EC,13
physics.gen-ph,12
physics.ins-det,12
cs.ET,11
cond-mat.mes-hall,10
q-fin.PR,10
cond-mat.mtrl-sci,9
math.AT,9
cs.OH,9
cs.NA,8
nlin.CG,7
nlin.PS,7
cs.CG,7
eess.AS,6
physics.chem-ph,6
cs.MS,6
q-bio.TO,5
cs.GR,5
q-bio.OT,5
physics.app-ph,5
cs.DM,5
q-bio.BM,5
hep-ph,5
cond-mat.other,4
cs.MM,4
physics.class-ph,4
cs.MA,4
q-bio.GN,3
physics.acc-ph,3
math.DG,3
math.FA,3
cs.PL,3
cs.AR,3
math.SP,3
cs.FL,3
math.AP,2
q-bio.CB,2
cs.LO,2
hep-lat,2
math.NT,2
math.RA,2
cond-mat.str-el,2
nlin.SI,2
math.CA,2
physics.hist-ph,2
cs.PF,2
cond-mat.quant-gas,2
math.HO,2
cs.GT,1
econ.TH,1
nucl-ex,1
cs.CC,1
math.CO,1
hep-th,1
physics.pop-ph,1
math.MG,1
cs.GL,1
physics.ed-ph,1
math.GM,1
physics.atom-ph,1
